вопрос,ответ
исследование Холтеровского Мониторирования ЭКГ ,"В день перед запланированной процедурой нужно принять теплый душ. То же самое надо проделать и утром накануне. Чистая кожа лучше приспособлена для крепления электродов. Если контакт будет достаточно тесен, вероятность помех резко снизится. Обязательно провести водную процедуру и после сеанса. Это связано с нанесением специального геля на места крепления для лучшей проводимости тока. Главным требованием к состоянию человека является спокойствие. Если перед кардиологическим исследованием человек подвергался усиленной физической нагрузке, волнению или стрессу, необходимо прийти в состояние покоя. Лучше расслабиться, сидя в удобном положении.
Человек должен отказаться от всех тонизирующих напитков. В список входят чай, кофе, энергетические коктейли и тем более содержащие алкоголь. Делать это нужно не позднее, чем за 4-6 часов до начала процедуры. Это не относится к алкоголю. Пить его нельзя как минимум несколько суток перед проведением процедуры. Энергетические напитки, в составе которых присутствует немалая доза кофеина, не только искажают показания кардиографии, но и отрицательно сказываются на роботе многих органов. В течение часа перед процедурой не рекомендовано употреблять тяжелой и жирной пищи. Острое и соленое есть тоже не желательно. Обильный прием пищи может вызвать одышку и исказить результаты мониторинга. Если от завтрака отказываться по каким-либо причинам не рекомендовано или же просто не хочется, можно перекусить легкой едой в небольшом количестве.
Категорично запрещается курить до начала мероприятия. Табак сужает сосуды и делает неточными исходные материалы анализа.
Так же, как и стимуляторы, противопоказаны и сильные успокоительные. Если пациент примет подобные препараты, доктор может ошибочно диагностировать брадикардию (или тахикардию в случае стимулирующих средств).При проведении исследования:
1. Распорядок дня, режим физических нагрузок должен быть максимально обычным.
2. Пациент в обязательном порядке должен вести дневник самонаблюдения, в котором необходимо отмечать по времени:
- любую смену  деятельности,  особенно физическую  нагрузку  (любую, даже незначительную, а  именно: бег, ходьба, подъём -  спуск по лестнице);
- психо - эмоциональную нагрузку;
- основные приёмы пищи и лекарственных препаратов (с указанием названия и дозы препарата);
- сон (время засыпания и время пробуждения);
- любые жалобы на изменение самочувствия, особенно болевые или неприятные ощущения в области сердца, перебои сердечного ритма. Ведение такого дневника позволяет врачу правильно интерпретировать результаты исследования.
3. Во время проведения исследования запрещается:
- проходить  через  арку  металлоискателя  и  электромагнитные  арки  в  магазинах;
- проведение других диагностических процедур (рентген, УЗС, гамма-сцинтиграфия, компьютерная и магнитно-резонансная томография)
- самостоятельно отсоединять разъёмы прибора;
- вынимать батарейки из монитора;
- механически повреждать или мочить прибор (не принимать душ или ванну в день проведения исследования);
- не трогать провода и электроды без необходимости. В случае, если произошло отсоединение проводов от электродов или электродов от тела, необходимо восстановить целостность сисмемы, т.к. запись ЭКГ может прекратиться, либо окажется нечитаемой.

"
исследование СМАД суточноый мониторинг артериального давления,"В день перед запланированной процедурой нужно принять теплый душ. То же самое надо проделать и утром накануне. Чистая кожа лучше приспособлена для крепления электродов. Если контакт будет достаточно тесен, вероятность помех резко снизится. Обязательно провести водную процедуру и после сеанса. Это связано с нанесением специального геля на места крепления для лучшей проводимости тока. Главным требованием к состоянию человека является спокойствие. Если перед кардиологическим исследованием человек подвергался усиленной физической нагрузке, волнению или стрессу, необходимо прийти в состояние покоя. Лучше расслабиться, сидя в удобном положении.
Человек должен отказаться от всех тонизирующих напитков. В список входят чай, кофе, энергетические коктейли и тем более содержащие алкоголь. Делать это нужно не позднее, чем за 4-6 часов до начала процедуры. Это не относится к алкоголю. Пить его нельзя как минимум несколько суток перед проведением процедуры. Энергетические напитки, в составе которых присутствует немалая доза кофеина, не только искажают показания кардиографии, но и отрицательно сказываются на роботе многих органов. В течение часа перед процедурой не рекомендовано употреблять тяжелой и жирной пищи. Острое и соленое есть тоже не желательно. Обильный прием пищи может вызвать одышку и исказить результаты мониторинга. Если от завтрака отказываться по каким-либо причинам не рекомендовано или же просто не хочется, можно перекусить легкой едой в небольшом количестве.
Категорично запрещается курить до начала мероприятия. Табак сужает сосуды и делает неточными исходные материалы анализа.
Так же, как и стимуляторы, противопоказаны и сильные успокоительные. Если пациент примет подобные препараты, доктор может ошибочно диагностировать брадикардию (или тахикардию в случае стимулирующих средств).Носимый регистратор СМАД устанавливается на сутки. Измерения АД проводятся автоматически    в    дневные    часы    через    каждые    15    минут, в часы ночного сна – каждые 30 минут. При неэффективном измерении АД или при получении результата измерения, резко отличающегося от предыдущего измерения, прибор измеряет АД через 3 минуты. Если повторные измерения часто повторяются, необходимо проверить положение манжеты на руке
При проведении исследования:
1. Распорядок дня, режим физических нагрузок должен быть максимально обычным.
2. Пациент в обязательном порядке должен вести дневник самонаблюдения, в котором необходимо отмечать по времени:
- любую смену  деятельности,  особенно физическую  нагрузку  (любую, даже незначительную, а  именно: бег, ходьба, подъём -  спуск по лестнице);
- психо - эмоциональную нагрузку;
- основные приёмы пищи и лекарственных препаратов (с указанием названия и дозы препарата);
- сон (время засыпания и время пробуждения);
- любые жалобы на изменение самочувствия. Ведение такого дневника позволяет врачу уточнять причины эпизодических подъёмов или снижения   АД   и   правильно   интерпретировать   результаты   исследования.
3. Пациенту необходимо контролировать положение манжеты и при необходимости её поправлять, чтобы нижний край был выше локтевого сгиба на 1- 2 пальца. Все манипуляции с манжетой проводить после успешного измерения АД.
4. Во время проведения исследования запрещается:
- проходить  через  арку  металлоискателя  и  электромагнитные  арки  в  магазинах;
- проведение других диагностических процедур (рентген, УЗС, гамма-сцинтиграфия, компьютерная и магнитно-резонансная томография)
- самостоятельно отсоединять разъёмы прибора;
- вынимать батарейки из монитора; - механически повреждать или мочить прибор (не принимать душ или ванну в день проведения исследования).
5. О начале измерения пациент (ребёнок) узнаёт по сдавливанию плеча вследствие нарастания давления в манжете. В этот момент, если пациент шёл или бежал, необходимо остановиться, опустить руку с манжетой вдоль туловища, максимально расслабить мышцы руки, не шевелить пальцами и не разговаривать. Если пациент сидел или лежал, надо оставить руку в том же положении, в котором она находилась на момент включения прибора и не двигаться.
6. В случае чрезмерного пережатия руки и возникновения неприятных нарушений в ней   (отёчность,   изменения   цвета)   необходимо   после   измерения:
- поднять  руку  с  манжетой  вверх  для  восстановления  кровообращения;
- обратиться к медперсоналу, или в отделение, где производилась установка аппарата.

"
Тредмил тест,"В день перед запланированной процедурой нужно принять теплый душ. То же самое надо проделать и утром накануне. Чистая кожа лучше приспособлена для крепления электродов. Если контакт будет достаточно тесен, вероятность помех резко снизится. Обязательно провести водную процедуру и после сеанса. Это связано с нанесением специального геля на места крепления для лучшей проводимости тока. Главным требованием к состоянию человека является спокойствие. Если перед кардиологическим исследованием человек подвергался усиленной физической нагрузке, волнению или стрессу, необходимо прийти в состояние покоя. Лучше расслабиться, сидя в удобном положении.
Человек должен отказаться от всех тонизирующих напитков. В список входят чай, кофе, энергетические коктейли и тем более содержащие алкоголь. Делать это нужно не позднее, чем за 4-6 часов до начала процедуры. Это не относится к алкоголю. Пить его нельзя как минимум несколько суток перед проведением процедуры. Энергетические напитки, в составе которых присутствует немалая доза кофеина, не только искажают показания кардиографии, но и отрицательно сказываются на роботе многих органов. В течение часа перед процедурой не рекомендовано употреблять тяжелой и жирной пищи. Острое и соленое есть тоже не желательно. Обильный прием пищи может вызвать одышку и исказить результаты мониторинга. Если от завтрака отказываться по каким-либо причинам не рекомендовано или же просто не хочется, можно перекусить легкой едой в небольшом количестве.
Категорично запрещается курить до начала мероприятия. Табак сужает сосуды и делает неточными исходные материалы анализа.
Так же, как и стимуляторы, противопоказаны и сильные успокоительные. Если пациент примет подобные препараты, доктор может ошибочно диагностировать брадикардию (или тахикардию в случае стимулирующих средств). чаще всего за сутки до исследования, пациенту (! только по указанию лечащего врача) обычно необходимо отменить некоторые препараты, которые он принимает постоянно. Крайне нежелательно курить или употреблять алкоголь и кофе за сутки до процедуры. В день исследования допустим легкий завтрак и прием незначительного количества воды. На обследование рекомендуется прийти в удобной одежде и легкой обуви.
"
Исследование функции внешнего дыхания (ФВД),"Для получения достоверных результатов обследования необходимо соблюдать некоторые простые правила.
Не курить в течение 1 часа перед исследованием.
Не употреблять алкоголь минимум за 4 часа до спирометрии.
 
Исключить тяжелые физические нагрузки за 30 минут до исследования.
Не принимать пищу за 3 часа до исследования.
Одежда на пациенте должна быть свободной и не мешать глубокому дыханию.
Если пациент носит съемные зубные протезы, то перед исследованием не стоит их снимать. Снять протезы необходимо только по рекомендации врача в том случае, если они мешают проведению спирометрии.
"
"ЭЭГ, электроэнцефалограмма, ЭхоЭГ, Эхоэнцефалография, Вызванных потенциалов головного мозга","Для проведения этих методов в специальной подготовке нет необходимости. Однако врачи рекомендуют с целью предотвращения ложных результатов произвести накануне такого действия:
За день до процедуры прекратить прием успокоительных и сосудистых средств (! только по указанию лечащего врача) .
Смыть с головы, если имеется, лак или гель для волос.
Хорошо выспаться в ночь перед исследованием.
"
"Видео ЭЭГ мониторинг, видео электроэнцефалограмма,","Иметь при себе:
1. Постельное белье (простынь, пододеяльник, наволочку).
2. Удобную одежду для сна. Сменную обувь (себе и ребенку).
3. Амбулаторную карту обязательно иметь! Посмотреть диагноз, с чем направлен на обследование. Предыдущие ЭЭГ, Видео-ЭЭГ!
4. Полотенце (голову вытереть).
5. Игрушку-успокоить, попить, покушать, памперс (маленьким детям). Подготовка:
Голова пациента должна быть вымыта, косметику (лак, гель для волос) не использовать!
• Взрослые не спят всю ночь (если не могут, то поспать с вечера часов до 24.00, а потом бодрствовать до обследования).
• Дети:
- До 1-года поднять пораньше, не давать спать до обследования.
- До 2-х лет поднять часа на 2-3 раньше, чем обычно просыпается.
- 2-4 года продолжительность сна приблизительно 7 часов
- 4-7 лет 6 часов
- 7-10 лет 5 часов
- 10 лет и старше менее 4 часов
Внимание!
Схему приёма противоэпилептических препаратов необходимо заблаговременно, до начала исследования, согласовать с Вашим лечащим врачом. При отсутствии дополнительных рекомендаций по изменению режима приёма лекарств, схема приёма остаётся прежней. Приём любых других препаратов, влияющих на центральную нервную систему (успокаивающие, снотворные, транквилизаторы и т.д.), также заранее согласовывается с лечащим врачом.
Исследование не проводится: при повышении температуры тела, острых респираторных и других инфекционных заболеваниях. Повреждения кожи в области лица, головы могут являться противопоказанием для исследования.
"
Электронейромиографии,"Специальных подготовительных мероприятий эта процедура не требует. Только на некоторые моменты необходимо обратить внимание:
• Прием медикаментозных препаратов (! только по указанию лечащего врача), влияющих на нервно-мышечную систему (миорелаксантов, антихолинергетики), следует прекратить за 3-6 дней до планируемой даты ЭМГ;
• В течение трех часов до процедуры нельзя курить и принимать пищу, богатую кофеином (кола, кофе, чай, шоколад).
• Строгим противопоказанием является- установленный у пациента кардиостимулятор.
"
водородный дыхательный тест с лактулозой,"Перед проведением теста не следует принимать пищу как минимум 14 часов (можно пить воду), нежелательно употреблять молоко и/или соки, лук, чеснок, капусту, бобовые и любые маринованные овощи за сутки до проведения исследования. Последний прием пищи должен легким, не содержать пищевой клетчатки (фрукты, овощи).
За 12 часов до исследования – не курить, не жевать жевательную резинку.
В день проведения теста можно принимать медикаменты, запивая их питьевой водой, за исключением витаминов, слабительных и антибиотиков.
После применения антибиотиков должно пройти 4 недели до проведения теста.
Слабительные, содержащие лактулозу, не должны применяться в течение 3 дней до проведения теста.
Пациенты, носящие зубные протезы, в день проведения теста, не должны использовать клейкие вещества для протезов.
Тест может быть проведен только через 4 недели после исследования кишечника (колоноскопия, ирригоскопия).
Тест может быть начат, если базальный уровень концентрации водорода составляет менее 5 ppm.
После измерения базального уровня необходимо выпить раствор лактулозы (15 мл Дюфалака развести в 250 мл воды). Следующее измерение через 15 минут и далее по графику в течение 2,5 часов.
"
УЗИ органов брюшной полости,"За день до обследования исключить газообразующие продукты (молоко, капусту, чёрный хлеб, бобовые, свежие овощи и фрукты, сладкие блюда);
на ночь принять адсорбент (дозировка по назначению врача);
прийти на обследование натощак: ничего не пить, не есть, не принимать лекарственные средства.
Если назначено ультразвуковое исследование органов брюшной полости с водно- сифонной пробой, при себе необходимо иметь: 200 мл воды и соломку для коктейля.
Если  назначено  ультразвуковое  исследование  органов  брюшной  полости с определением функции желчного пузыря, при себе необходимо иметь: желчегонный завтрак (шоколадку, банан, или сладкий чай).
При себе иметь пелёнку и салфетки.
"
УЗИ почек и мочевого пузыря,"За день до обследования исключить газообразующие продукты (молоко, капусту, чёрный хлеб, бобовые, свежие овощи и фрукты, сладкие блюда);
на ночь выпить адсорбент (дозировка по назначению врача);
прийти на обследование с наполненным мочевым пузырём (за 1 час до обследования нужно выпить 500мл воды);
при себе иметь пелёнку и салфетки, воду - 1л.
"
УЗИ малого таза (трансабдоминальное),"  Обследование проводится на 5-10 день менструального цикла (1-й день –это начало менструации).
За день до обследования исключить газообразующие продукты (молоко, капусту, чёрный хлеб, бобовые, свежие овощи и фрукты, сладкие блюда);
на ночь выпить адсорбент (дозировка по назначению врача);
прийти на обследование с наполненным мочевым пузырём (за 1 час до обследования нужно выпить 500мл воды или сока);
при себе иметь пелёнку и салфетки, воду - 1л.
"
УЗИ молочных желез,"Обследование проводится на 5-10 день менструального цикла (1-й день – это начало менструации).
При себе иметь пелёнку и салфетки.
"
УЗИ органов брюшной полости и УЗИ органов малого таза у девочек:,"прийти на обследование натощак: ничего не пить, не есть, не принимать лекарственные средства.
при себе иметь пелёнку и салфетки, воду - 1л.
После проведения УЗИ органов брюшной полости наполнить мочевой пузырь (выпить 1 литр воды)! До проведения УЗИ органов брюшной полости жидкость принимать нельзя!!!!
"
